#,Pos,Orientacion,Energometro,Lado1_Top,Lado2_Left,Vacuoscopio_Front,Lado0_Front,Roboscanner_Front,Lado3_Right,Lado4_Down,Regla,Nueva_Accion,Nueva_Pos,Accion_Memoria,Usa_Memoria?,Usa_Regla?
1,"[1,2,1]","[0,0,1]",0,0,0,0,0,0,0,0,2,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,2,2]",,0,1
2,"[1,2,2]","[0,0,1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,2,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
3,"[1,2,3]","[0,0,1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,2,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
4,"[1,2,3]","[0,0,1]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}","[1,2,3]",,0,1
5,"[1,2,3]","[1,0,0]",0,0,0,0,0,2,0,0,34,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}","[1,2,3]",,0,1
6,"[1,2,3]","[0,1,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,2,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
7,"[1,3,3]","[0,1,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
8,"[1,3,3]","[0,1,0]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}","[1,3,3]",,0,1
9,"[1,3,3]","[0,0,1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
10,"[1,3,3]","[0,0,1]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}","[1,3,3]",,0,1
11,"[1,3,3]","[-1,0,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
12,"[1,3,3]","[-1,0,0]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}","[1,3,3]",,0,1
13,"[1,3,3]","[0,1,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
14,"[1,3,3]","[0,1,0]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}","[1,3,3]",,0,1
15,"[1,3,3]","[0,0,-1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
16,"[1,3,2]","[0,0,-1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
17,"[1,3,1]","[0,0,-1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,2]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
18,"[1,3,1]","[0,0,-1]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}","[1,3,1]",,0,1
19,"[1,3,1]","[0,1,0]",0,0,0,0,0,0,1,0,4,"{""tipo"": ""move"", ""directions"": [""y-90""]}","[1,3,1]",,0,1
20,"[1,3,1]","[1,0,0]",0,0,0,0,1,0,0,0,3,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,2]",,0,1
21,"[2,3,1]","[1,0,0]",1,0,0,0,0,0,0,0,1,"{""tipo"": ""destroy""}","[2,3,1]",,0,1
